ngramme	Cliges	Yvain	AlexisP11	ThebesC	AlexisPRI	FillePonth1B1	AlexisP13	BenTroieC_1partial	ChaceP	AlexisOctP	SGeorgDeG	MeraugisF	SGeorgVosL	AigarB	LancJ	PercevalKu	CleomHas	BenTroieC_4partial	ErecF	DancusM	JAvesnesFilleB	JugAmD	OmbreB2	UnicornecW	AlexisPQ
ubl	5	13	0	8	8	1	2	3	2	0	0	0	0	2	10	9	57	0	5	0	9	1	1	5	1
ubo	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ubr	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0
ubs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
ubt	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	11	0	0	0	0
ubu	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ubv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ubx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ubz	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0
ubé	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0
uc
	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uc 	19	9	0	18	1	0	4	1	2	0	0	0	2	3	0	0	7	0	1	0	25	1	0	1	2
uca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	0	0	0
ucc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
uce	42	2	0	17	47	4	3	35	0	7	2	26	0	0	67	165	184	7	140	2	11	9	10	0	56
uch	4	82	0	83	0	4	39	38	1	4	0	15	1	0	31	8	88	4	37	8	6	2	3	0	16
uci	0	3	0	15	2	4	7	6	1	3	2	0	0	0	7	11	42	0	5	3	2	0	0	4	5
ucl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
uco	1	1	0	2	0	0	0	1	1	0	0	0	0	0	0	1	12	0	2	64	0	2	0	0	0
ucq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ucr	0	1	0	0	0	0	0	0	0	0	8	0	6	0	0	1	0	0	0	1	0	0	0	0	2
ucs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
uct	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0
ucu	9	7	0	3	0	5	0	3	5	4	0	2	0	0	4	12	23	0	2	6	1	0	4	2	2
ucz	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ucè	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ucï	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ud 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0
uda	0	0	0	0	0	87	0	0	0	0	1	0	0	2	2	2	3	0	0	0	47	0	0	0	0
ude	6	6	17	20	0	2	1	1	0	0	0	2	0	2	3	5	7	2	6	5	6	0	0	0	1
udh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
udi	2	2	0	17	0	0	2	4	1	2	2	4	0	1	3	2	6	0	6	1	3	0	0	0	0
udo	0	3	0	15	1	15	0	3	0	0	0	0	0	0	0	0	8	1	2	0	0	0	2	4	3
udr	12	9	0	41	0	0	0	25	6	3	0	23	0	0	11	9	9	7	40	4	2	1	3	0	3
udu	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
udé	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1
udï	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ue
	65	55	0	68	8	5	29	47	0	6	4	24	10	0	54	76	125	2	58	22	5	3	3	4	10
ue 	962	1181	73	1114	185	105	20	696	85	98	64	499	45	43	1063	1546	3065	63	867	143	435	45	136	47	107
uea	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ueb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
uec	10	1	0	61	17	4	11	23	0	0	0	16	0	0	6	2	72	4	59	1	5	0	4	1	0
ued	3	0	14	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
uee	15	7	0	19	0	0	3	8	1	0	0	1	0	0	5	4	8	0	4	0	4	1	0	3	0
uef	4	4	0	15	3	1	0	2	0	0	0	0	0	0	3	3	2	2	4	3	1	0	2	0	1
ueg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ueh	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
uei	5	9	2	77	1	1	5	76	0	3	7	60	4	2	4	10	82	1	17	4	0	1	18	0	1
uek	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uel	235	196	5	143	37	36	26	88	16	20	6	58	7	12	215	185	404	16	219	8	207	3	30	17	20
uem	14	28	0	5	0	0	0	0	2	2	0	3	0	1	7	15	50	0	8	0	2	0	0	0	1
uen	70	59	3	108	13	83	5	95	2	15	0	49	2	10	49	46	14	7	171	1	13	3	11	6	4
ueo	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uep	3	1	0	1	0	0	0	2	0	3	0	4	0	0	3	2	2	1	3	0	2	0	0	0	0
ueq	2	1	0	1	0	0	0	0	0	0	0	4	0	0	2	10	7	0	1	1	0	0	0	0	0
uer	164	156	20	229	42	36	28	117	11	56	12	70	8	8	122	149	546	5	118	10	97	8	27	8	43
ues	86	164	10	108	34	31	17	149	8	9	8	84	12	18	134	138	248	5	125	25	18	11	32	6	3
uet	101	102	2	105	22	9	20	57	10	10	4	48	12	2	102	86	113	3	86	12	8	4	12	6	1
ueu	3	6	0	105	0	2	0	46	4	2	0	12	0	0	6	2	14	10	15	0	9	1	1	2	2
uev	35	9	0	43	1	2	5	35	3	3	0	14	0	0	33	27	15	4	14	0	0	2	2	0	0
uex	9	0	0	0	0	0	0	0	3	0	0	0	0	0	8	11	0	0	0	0	0	0	0	0	0
uez	3	3	0	7	0	0	0	8	0	1	0	2	0	0	2	5	9	0	2	13	32	0	0	0	25
ueë	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ueï	2	0	0	0	0	0	0	2	0	0	0	0	0	0	5	9	2	0	1	0	0	0	0	0	0
ueö	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
ueü	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uf
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
uf 	0	1	0	3	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ufa	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ufe	1	0	7	6	7	0	6	0	0	8	0	1	0	0	0	9	3	0	0	5	0	0	0	0	2
uff	0	11	0	0	1	4	0	0	1	1	2	0	0	0	0	0	1	0	0	1	15	1	1	2	2
ufi	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	1
ufl	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1
ufn	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ufo	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ufr	1	0	0	1	4	0	0	0	0	3	0	0	0	2	0	0	7	0	0	0	0	0	1	0	7
ufv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ufé	1	4	0	0	2	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0
ug
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
uga	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
uge	3	3	1	38	0	0	0	5	1	0	0	0	0	0	1	0	4	0	0	5	2	6	0	0	0
ugh	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ugi	0	2	0	14	0	0	0	8	0	0	0	125	0	0	0	3	22	0	0	0	0	3	0	0	0
ugl	0	2	0	0	0	0	0	0	0	0	1	0	1	1	4	1	1	0	1	0	3	0	0	0	0
ugm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
ugn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ugo	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ugr	4	2	0	1	0	2	0	0	0	0	0	3	0	0	1	6	1	0	0	0	0	0	1	0	0
ugu	1	0	0	10	0	0	0	2	0	0	0	1	0	2	0	0	0	0	2	0	0	1	0	0	0
ugï	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
uh 	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uha	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	2	0	0	0	0
uhe	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ui
	62	77	0	45	2	2	0	21	0	11	4	32	4	0	78	142	189	0	90	7	1	2	14	2	1
ui 	788	769	89	727	192	139	74	522	32	109	91	454	49	39	856	1181	1910	50	700	63	253	42	106	55	79
uia	5	3	0	8	0	0	5	1	0	3	0	1	0	0	6	16	10	0	9	0	1	0	0	1	0
uib	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
uic	4	1	0	0	2	0	0	2	0	1	0	0	0	0	1	3	0	0	1	1	1	0	0	1	0
uid	79	54	1	39	4	15	10	29	2	3	3	14	2	6	68	55	123	2	44	0	22	1	9	0	16
uie	66	57	6	72	5	8	20	38	3	2	4	21	0	0	57	62	73	2	32	4	11	2	5	7	9
uif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
uig	0	3	0	1	0	0	0	1	0	0	0	0	0	0	3	1	2	1	3	0	0	0	0	0	0
uii	0	0	0	0	0	0	5	0	0	0	0	5	0	0	0	7	1	0	30	0	0	0	0	0	0
uil	230	255	12	101	23	35	0	180	16	41	21	176	9	4	335	296	621	11	136	26	240	4	55	12	40
uim	1	2	0	0	0	3	0	0	0	0	0	0	0	0	2	7	0	0	0	0	0	0	0	0	0
uin	15	7	2	6	0	4	1	18	0	0	0	2	0	0	2	34	6	4	19	0	14	0	0	2	0
uio	0	4	0	0	0	0	0	4	0	0	0	0	0	0	1	4	9	0	0	0	0	0	0	1	0
uip	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uir	16	20	0	11	5	7	5	10	5	1	1	5	7	2	10	25	17	1	15	4	15	1	7	2	4
uis	133	192	12	72	93	50	68	210	36	17	10	97	14	12	179	195	425	19	164	24	133	7	46	21	65
uit	180	170	11	224	16	18	14	170	16	18	6	64	10	15	177	191	108	10	216	13	29	11	18	8	7
uiv	3	0	0	2	0	0	0	2	0	0	0	2	0	0	1	1	0	0	38	0	2	0	2	0	0
uiz	12	3	4	3	0	0	0	10	2	0	0	0	0	0	8	9	1	0	6	1	0	0	0	0	1
uiç	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0
uiè	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uié	1	2	0	11	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0
uië	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uja	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ujo	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0	0	2
uka	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uke	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ul
	0	3	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ul 	60	75	4	32	9	13	7	58	2	9	5	24	3	0	50	63	108	4	52	0	20	2	4	2	18
ula	0	9	0	0	0	1	0	0	0	2	0	0	0	0	1	0	11	0	1	1	4	0	0	0	4
ulc	0	0	9	1	2	0	3	0	0	0	5	0	0	0	0	0	0	0	0	0	28	0	0	0	0
uld	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	144	0	0	0	0
ule	77	90	7	30	24	14	6	36	5	3	5	15	1	2	76	89	124	1	74	7	30	4	12	5	9
ulf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ulh	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uli	1	0	0	0	1	0	3	12	0	1	1	0	0	1	0	1	6	2	0	3	3	0	1	0	5
ull	0	21	0	0	3	5	0	0	2	1	1	0	0	0	0	0	0	0	0	1	21	1	13	0	10
ulm	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0
ulo	0	6	1	0	0	2	0	0	0	0	8	0	0	0	0	0	107	0	0	2	24	0	1	2	9
ulp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
uls	0	1	4	5	1	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	4	0	1	0	0
ult	0	4	0	0	34	0	0	0	7	2	30	0	19	0	2	0	1080	0	0	22	188	1	0	4	5
ulu	0	4	0	0	0	0	0	1	0	2	0	3	0	0	0	0	43	0	1	0	2	0	0	1	0
ulv	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
ulx	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	59	0	0	0	1
uly	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ulz	0	8	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	71	0	0	0	0
ulç	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
ulè	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ulé	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	2	0	0	0	1
um
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
um 	0	0	0	0	1	0	0	0	0	2	1	0	1	0	0	0	0	0	0	19	0	0	0	0	0
uma	7	1	0	3	5	15	0	3	0	1	0	0	0	0	3	1	2	0	7	0	31	0	0	0	0
umb	1	0	0	2	0	0	0	0	0	1	0	0	0	0	1	1	3	0	0	2	6	0	0	0	0
ume	31	25	3	43	34	22	6	37	0	5	0	33	1	2	44	17	123	4	52	9	10	2	4	4	2
umi	10	10	1	4	2	2	5	3	0	3	0	1	0	1	1	7	19	0	4	6	2	0	0	0	6
uml	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
umo	0	1	0	3	11	1	9	4	0	6	0	2	0	1	1	4	2	0	2	0	0	0	1	0	5
ump	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
umq	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
umu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
umé	2	3	0	0	3	1	0	0	7	1	0	0	0	0	0	2	9	0	0	0	2	0	0	0	0
un
	16	2	0	12	1	2	0	4	0	8	0	5	0	0	2	4	2	4	4	2	0	0	0	0	0
un 	122	114	10	391	42	35	48	145	14	32	30	37	5	16	177	78	219	13	213	7	74	18	32	3	32
una	6	0	0	1	1	12	0	11	0	0	0	1	0	2	0	0	13	1	1	0	0	0	0	0	1
unb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
unc	2	2	1	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0
und	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	2	0	0
une	114	131	14	224	33	81	26	90	2	18	17	56	13	5	157	208	249	6	160	36	107	11	16	5	24
ung	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	71	0	0	0	0
uni	0	0	0	1	1	35	1	0	0	0	0	1	0	0	0	0	0	1	1	1	2	0	0	3	0
unk	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
uno	2	0	0	0	14	13	0	2	0	0	0	1	0	0	0	0	2	0	0	0	2	0	0	0	0
unq	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uns	88	53	3	122	5	30	8	83	12	2	0	30	3	16	104	93	259	4	94	7	7	3	10	5	2
unt	0	1	0	0	1	5	0	0	0	6	0	0	1	9	1	0	1	0	0	0	0	0	0	1	0
unu	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
unz	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uné	0	0	0	0	4	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0
uo 	0	0	0	1	0	0	0	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
uoc	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uod	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
uoi	6	29	1	3	1	10	0	0	0	0	8	51	0	0	7	7	159	0	33	3	4	1	1	6	0
uom	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uon	1	2	1	8	0	1	0	11	4	0	1	24	0	0	2	0	3	3	12	1	5	1	1	1	7
uor	1	0	1	1	0	0	1	8	0	0	0	3	0	0	2	0	1	1	7	0	0	0	0	0	0
uos	0	0	0	1	0	0	0	7	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
uot	0	0	0	4	1	0	0	3	0	0	1	1	0	0	0	0	8	0	0	0	0	0	0	1	0
uoy	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	13	0	0	0	0
uoë	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uoï	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
up 	0	0	0	15	0	0	0	3	0	0	0	7	0	0	0	0	29	1	0	0	15	0	0	0	0
upa	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	12	0	0	1	0	0	0	0	2
upc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
upe	4	5	0	5	1	3	1	4	3	0	0	3	0	2	0	0	16	0	1	0	9	0	1	0	1
uph	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
upi	0	1	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
upl	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	6	0	0	0	0	0	1	0	1
upo	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
upp	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	6	0	0	0	0
upr	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	5	0	0	0	0
ups	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	7	0	0	0	0
upt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
upz	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
upé	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
uqe	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uqu	0	9	0	25	5	1	0	29	1	0	0	0	1	5	4	4	7	1	6	27	22	1	1	0	1
ur
	3	67	0	13	26	5	0	6	4	0	8	0	0	0	3	3	261	0	2	1	2	0	0	2	8
ur 	13	484	2	20	160	169	1	13	30	2	54	5	1	4	11	5	1519	1	7	7	427	4	2	31	117
ura	3	14	3	25	12	12	6	14	16	0	9	6	6	6	1	4	46	2	5	1	45	0	0	2	22
urb	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	187	0	0	0	8	0	0	0	1
urc	0	5	0	0	3	5	0	0	0	0	0	0	0	0	0	0	13	0	0	3	11	0	0	0	4
urd	0	5	0	0	2	0	0	0	0	0	1	0	0	0	0	0	9	0	0	0	15	0	0	0	5
ure	143	192	19	260	57	121	17	208	11	34	12	53	18	6	119	168	377	12	158	17	158	14	22	15	45
urf	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	2	0	0	0	0
urg	0	2	0	7	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	8	1	0	0	1	0
urh	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uri	3	5	0	4	1	2	0	9	0	1	2	0	0	23	0	1	10	0	3	3	22	0	0	0	4
url	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
urm	3	7	0	0	2	3	0	0	0	0	0	0	0	0	2	0	6	0	2	0	1	0	0	1	2
urn	0	55	0	0	8	19	3	0	2	0	3	0	0	0	0	0	43	0	0	0	61	0	0	0	8
uro	0	19	0	1	8	6	3	4	10	0	5	1	1	1	1	0	63	0	0	1	17	1	0	1	6
urp	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	1
urq	1	17	0	0	1	4	0	2	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	1	1
urr	1	39	0	6	6	2	1	3	2	0	3	3	0	0	0	0	55	1	1	6	53	0	0	0	4
urs	5	98	0	32	8	30	0	15	1	0	6	6	0	0	5	9	338	3	4	3	109	1	3	9	11
urt	1	80	0	2	2	9	0	3	0	1	1	3	0	0	11	9	141	0	3	5	22	0	3	1	10
uru	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0	0
urv	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	19	0	0	0	10	0	0	0	2
urz	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0
urç	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
urè	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
uré	4	13	0	19	12	3	1	6	1	0	6	1	2	0	3	2	15	3	4	0	8	0	0	0	13
urï	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
us
	50	126	1	164	14	13	12	234	11	0	4	89	4	31	54	66	341	25	112	7	3	9	23	4	20
us 	368	1113	37	955	241	468	149	709	85	61	61	323	50	50	346	322	2883	82	698	67	261	71	159	58	188
usa	9	4	0	5	5	6	1	1	0	3	0	1	0	4	1	7	23	0	5	0	16	0	0	0	9
usb	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
usc	0	4	0	15	1	4	2	3	0	0	3	1	1	0	0	2	6	0	2	5	1	0	0	0	0
usd	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
use	32	41	2	7	16	14	2	5	10	4	4	3	0	1	25	30	113	1	12	5	64	0	4	7	5
usf	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
usg	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
usi	26	23	0	16	12	26	5	17	5	8	0	17	0	0	19	34	43	0	1	6	43	10	8	3	9
usj	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	0	0	0	2
usk	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
usl	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
usm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
usn	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
uso	5	1	0	27	0	0	0	29	1	3	0	0	1	0	13	8	34	1	5	0	0	0	1	0	1
usp	1	8	0	0	2	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	8	0	6	0	1
usq	20	33	3	51	4	4	0	23	2	0	1	16	1	0	40	62	49	1	43	7	24	0	8	0	2
usr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
uss	13	59	12	20	12	5	8	27	6	8	3	6	2	0	18	20	226	2	40	0	43	2	8	1	2
ust	68	95	8	61	40	29	9	83	1	18	6	30	7	1	82	54	360	11	63	3	95	9	11	5	23
usu	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
usy	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
usé	0	4	0	1	9	0	0	2	0	1	0	0	0	0	2	1	20	0	0	0	3	0	0	0	7
usî	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ut
	48	91	3	22	2	15	38	14	6	14	0	36	0	12	49	88	31	0	73	2	1	0	4	2	0
ut 	316	566	48	722	106	259	127	588	10	90	36	160	8	6	51	374	774	41	458	19	59	19	72	21	166
uta	9	13	0	8	1	16	3	5	0	1	1	13	0	0	11	9	20	1	4	3	19	0	0	0	3
ute	15	171	0	29	26	29	10	35	8	5	11	19	3	0	23	30	256	3	27	37	46	10	19	14	20
