ngramme	BenTroieC_1partial	SGeorgDeG	AlexisPQ	BenTroieC_4partial	Yvain	MeraugisF	ChaceP	DancusM	AlexisOctP	PercevalKu	AlexisP13	Cliges	JugAmD	AlexisP11	JAvesnesFilleB	FillePonth1B1	SGeorgVosL	ThebesC	AigarB	UnicornecW	LancJ	ErecF	CleomHas	AlexisPRI	OmbreB2
qé	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0

r
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0

ra	0	0	0	0	1	1	0	0	0	2	0	4	0	0	1	0	0	4	0	0	2	5	3	0	0

re	21	1	0	4	10	20	0	0	1	9	3	14	0	6	3	1	1	38	1	0	8	22	38	7	5

ri	26	0	0	2	3	5	0	0	1	9	0	8	1	1	0	0	2	20	0	0	9	6	31	1	1

ro	3	1	0	0	7	0	0	3	0	6	0	4	1	0	0	2	0	2	1	0	9	4	39	0	0

ru	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0

ré	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0

sa	55	20	12	8	64	40	9	8	11	111	14	90	5	9	2	4	9	64	1	2	93	76	315	40	12

sc	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

se	188	6	9	18	223	116	17	12	13	231	29	174	13	17	2	10	11	306	15	4	202	176	498	42	33

si	158	12	12	19	343	102	22	6	35	495	62	278	12	24	1	6	16	211	6	10	340	259	394	71	38

sl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1

so	103	8	11	16	51	38	2	12	7	62	12	58	9	13	1	5	1	118	3	1	68	75	163	27	8

sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0

su	3	3	3	1	2	5	2	1	1	3	1	3	0	0	0	0	0	6	0	0	6	4	10	1	2

sy	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0

sà	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0

sè	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0

sé	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0

sö	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0

ta	68	2	5	8	111	29	3	3	11	129	20	92	4	8	2	4	3	102	10	4	120	108	188	10	2

te	44	1	0	1	22	15	3	1	2	29	10	23	0	1	0	3	3	12	0	1	28	22	60	4	5

th	1	0	0	0	0	0	0	0	0	0	0	6	0	0	1	1	0	2	0	0	0	0	0	0	0

ti	3	0	0	0	4	3	2	3	0	1	0	4	0	1	1	3	1	7	0	0	1	1	3	1	0

to	95	9	10	10	69	35	4	5	9	70	11	60	6	14	0	3	14	96	4	2	70	79	223	23	8

tr	68	2	1	5	34	18	4	1	7	40	12	22	1	6	1	1	4	48	5	1	38	43	93	6	2

tu	23	1	0	1	7	12	1	6	4	14	3	19	1	2	1	0	1	73	3	0	18	37	0	2	0

ty	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0

té	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0

u 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	6	0

ue	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0

ui	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

ul	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

un	40	10	6	6	45	29	2	3	9	67	8	23	1	2	0	1	4	108	3	0	73	62	100	8	5

ut	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

v 	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	2	0	0	1	3	0	0	3	0	0

va	7	2	1	0	9	4	1	4	0	28	3	7	2	2	0	0	3	11	4	0	6	16	4	5	1

vc	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

ve	42	2	7	0	40	15	2	5	5	49	0	35	2	2	0	5	6	70	0	0	46	38	121	6	10

vi	26	2	1	3	14	16	0	5	3	20	10	15	0	8	0	6	3	19	4	4	18	24	40	6	2

vo	33	2	10	1	59	40	2	5	9	99	5	48	5	3	1	13	3	46	0	3	59	55	100	4	15

vr	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0

vu	2	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	4	0	0	2	4	5	0	0

vé	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0

vï	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0

