Source;Target;Weight;jaccard;Type
ThebesC;AlexisPRI;0.8883;0.5102;Undirected
ThebesC;OmbreB2;0.8614;0.4636;Undirected
AigarB;UnicornecW;0.6913;0.4167;Undirected
AigarB;LancJ;0.6835;0.4159;Undirected
AigarB;ErecF;0.7027;0.4221;Undirected
AigarB;CleomHas;0.6759;0.3562;Undirected
AigarB;AlexisPRI;0.7260;0.4526;Undirected
AigarB;OmbreB2;0.6528;0.4269;Undirected
UnicornecW;LancJ;0.8594;0.3522;Undirected
UnicornecW;ErecF;0.8567;0.3492;Undirected
UnicornecW;CleomHas;0.8792;0.2980;Undirected
UnicornecW;AlexisPRI;0.8948;0.4360;Undirected
UnicornecW;OmbreB2;0.8498;0.4527;Undirected
LancJ;ErecF;0.9736;0.6963;Undirected
LancJ;CleomHas;0.8791;0.5732;Undirected
LancJ;AlexisPRI;0.8570;0.5320;Undirected
LancJ;OmbreB2;0.8968;0.5276;Undirected
ErecF;CleomHas;0.8748;0.5759;Undirected
ErecF;AlexisPRI;0.8615;0.5281;Undirected
ErecF;OmbreB2;0.8882;0.5260;Undirected
CleomHas;AlexisPRI;0.8946;0.4925;Undirected
CleomHas;OmbreB2;0.8874;0.4485;Undirected
AlexisPRI;OmbreB2;0.8811;0.5460;Undirected
