ngramme	freq-JugAmD	freq-LancJ	freq-AigarB	freq-ChaceP	freq-DancusM	freq-OmbreB2	freq-UnicornecW	freq-PercevalKu	freq-AlexisP13	freq-ErecF	freq-BenTroieC_4partial	freq-MeraugisF	freq-JAvesnesFilleB	freq-Yvain	freq-ThebesC	freq-AlexisPRI	freq-AlexisPQ	freq-CleomHas	freq-SGeorgDeG	freq-AlexisOctP	freq-BenTroieC_1partial	freq-FillePonth1B1	freq-AlexisP11	freq-SGeorgVosL	freq-Cliges
kat	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kel	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
l x	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lag	0	0	1	0	0	0	0	1	0	6	1	0	6	5	22	0	0	10	0	0	4	1	0	0	5
laç	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
laï	0	0	1	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0
lca	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	6	0	0	11	0	0	0	0
lco	0	0	1	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0
lcu	0	0	1	0	0	0	0	0	0	0	0	0	17	1	0	0	0	0	0	0	0	0	0	0	0
lda	0	0	2	0	0	0	0	0	0	0	0	0	29	0	0	0	0	34	0	0	0	1	0	0	0
lde	0	0	3	0	0	0	0	1	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	0	0
lej	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0
lel	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	2	0	0	0	0
lfe	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0
lge	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0
lgu	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lib	0	0	1	0	0	0	0	0	0	0	2	0	7	0	2	0	0	0	0	0	3	0	0	0	0
lja	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lje	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lm 	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lop	0	0	1	0	0	0	0	1	0	3	0	0	0	1	0	0	0	0	1	0	2	0	0	0	1
lra	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
lse	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
lss	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
lta	0	0	7	0	0	0	0	2	0	2	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0
lva	0	0	1	0	0	0	0	1	0	0	0	0	2	7	0	1	1	0	0	0	0	0	1	0	1
lça	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0
m n	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1	0	1	5	0	2	0	5
m o	0	0	1	0	0	1	0	1	0	0	0	0	0	2	0	1	0	2	0	0	4	2	1	0	0
mem	0	0	1	0	1	3	0	4	3	2	1	0	11	6	17	4	4	5	3	0	8	0	2	0	1
meu	0	0	1	0	2	1	0	0	0	1	0	0	9	14	7	0	1	10	1	2	0	0	0	0	0
mid	0	0	1	0	0	0	0	3	0	3	1	2	1	5	1	0	0	0	0	0	3	0	0	0	0
miv	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
mod	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mps	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ms 	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	1	2	0	0
nad	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
naf	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
nav	0	0	1	0	3	0	0	7	0	9	0	2	5	4	16	0	1	18	0	0	33	0	1	0	4
ncr	0	0	1	0	0	0	0	2	3	0	0	0	6	1	4	1	0	1	0	1	5	0	0	0	2
ncz	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
neb	0	0	2	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	2	0	0	0	7
ned	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	8	0	6	1	0
neg	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	2
net	0	0	1	0	1	0	1	11	19	7	0	2	4	19	2	0	0	49	0	0	1	1	11	0	2
nna	0	0	3	0	0	0	0	1	0	0	0	0	30	16	0	2	4	39	0	2	0	1	0	0	0
noo	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nos	0	0	3	0	3	0	0	0	4	1	0	0	0	1	6	0	0	2	0	0	8	2	3	0	0
nps	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nsd	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nsï	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ntb	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
ntv	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nuc	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nze	0	0	1	0	0	0	0	0	1	2	1	0	0	8	21	0	0	0	0	0	5	0	0	0	0
nzi	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
o a	0	0	1	0	1	0	0	3	0	1	2	0	0	0	21	0	0	0	0	0	33	1	6	0	2
o e	0	0	1	0	1	0	0	0	0	2	0	0	0	0	18	1	0	0	0	0	23	0	1	0	2
o r	0	0	1	0	0	0	0	1	0	2	3	0	0	0	16	0	0	1	0	0	23	0	0	0	0
ob 	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
oba	0	0	2	0	2	0	0	1	0	3	1	0	0	0	5	0	0	4	0	0	1	0	0	0	1
obi	0	0	1	0	0	0	0	0	2	0	1	0	0	0	3	1	0	2	0	0	0	0	1	0	0
obr	0	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
obs	0	0	1	0	1	0	0	0	0	0	0	0	26	1	0	0	0	0	0	0	0	0	0	0	2
obu	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0
oca	0	0	1	0	0	0	0	0	0	0	0	0	1	0	11	0	0	36	1	0	0	0	0	0	0
ocl	0	0	1	0	0	0	0	3	0	2	2	0	0	0	37	0	0	1	0	0	5	0	0	0	2
oco	0	0	3	0	1	0	1	0	1	0	1	0	0	0	15	1	0	0	0	0	12	1	0	0	0
od	0	0	3	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
oda	0	0	1	0	3	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
oei	0	0	2	0	0	2	0	0	0	1	0	6	0	7	20	0	0	1	0	2	0	0	0	0	0
ofa	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ogn	0	0	1	7	0	0	0	0	2	0	0	0	1	0	2	0	0	1	0	0	1	0	0	0	0
olq	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
olr	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
oms	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	1	0	0	0
oos	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ops	0	0	2	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0
orj	0	0	1	0	0	0	0	3	0	8	0	1	0	1	1	1	0	1	0	0	0	0	0	2	2
osb	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
osu	0	0	2	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
p g	0	0	5	0	0	0	0	0	0	1	0	0	3	0	3	0	0	4	0	0	1	0	0	0	0
p o	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	1	0	0	0	0
pad	0	0	5	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	1	0	1	0	0	1	0
pav	0	0	2	0	0	0	0	8	2	3	3	6	5	5	13	0	0	5	0	0	6	0	0	0	3
pde	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
poc	0	0	4	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
pod	0	0	1	0	2	0	0	0	0	1	1	0	0	0	3	0	0	0	0	0	0	0	7	0	0
poe	0	0	1	0	0	1	1	12	4	21	0	4	0	1	50	7	0	6	0	5	0	0	0	0	5
ps 	0	0	7	0	0	0	0	0	0	0	0	0	9	12	0	0	0	20	0	0	0	0	0	0	0
pus	0	0	1	0	0	0	1	0	0	0	0	0	0	0	12	0	0	0	0	0	3	2	0	0	0
r ç	0	0	1	0	0	0	0	1	0	1	0	0	0	1	8	0	0	0	0	0	4	4	1	0	0
rat	0	0	6	0	1	0	0	5	1	1	1	0	5	7	4	0	1	4	0	1	2	3	8	1	5
rdï	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
rfr	0	0	1	0	0	0	1	3	0	2	1	0	0	0	3	0	0	3	0	0	2	0	0	0	0
rib	0	0	6	0	2	0	1	0	0	0	1	0	3	1	1	0	2	0	0	1	3	2	0	0	3
rid	0	0	5	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	3	0	1
rjo	0	0	1	0	0	0	0	1	0	8	0	1	0	1	1	0	0	0	0	0	0	0	0	0	2
ro 	0	0	2	0	1	0	0	0	0	0	0	0	0	0	8	0	0	1	0	0	15	0	0	0	0
rpr	0	0	2	0	0	0	0	3	0	5	1	0	0	1	17	0	1	4	0	0	14	0	0	0	6
rus	0	0	2	1	0	0	0	0	2	1	0	1	6	3	6	1	3	8	0	1	3	1	0	0	0
ryc	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rza	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rze	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
rç 	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
s x	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	3
sap	0	0	4	0	0	0	0	0	0	0	0	1	8	0	1	0	0	3	0	0	1	0	0	0	0
saz	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0
sbe	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sde	0	0	1	0	0	0	0	1	2	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0
sdo	0	0	1	0	0	0	0	0	3	0	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0
sig	0	0	1	0	0	0	0	1	17	0	2	9	1	0	5	31	0	0	0	0	21	2	1	1	2
sob	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
soc	0	0	3	0	0	0	0	0	2	0	1	0	0	0	15	0	1	0	0	0	12	0	0	0	0
ssr	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
suf	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
sun	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	1	1	12	0	3	5	0	0	0	0
sut	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
t y	0	0	1	0	0	0	0	0	0	1	0	0	5	4	7	0	0	1	1	1	2	1	0	0	0
tad	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tbl	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tim	0	0	1	0	0	0	0	0	0	1	0	0	0	2	4	0	0	4	0	0	1	0	0	0	1
tio	0	0	1	0	0	0	0	1	1	1	1	0	27	1	27	1	1	6	0	2	7	1	1	0	6
tub	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tve	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uba	0	0	1	0	0	0	0	0	0	5	0	1	1	1	0	0	0	1	0	0	4	0	0	0	1
ubi	0	0	7	1	0	1	0	0	0	1	0	0	1	2	2	0	0	19	0	0	1	1	0	1	0
uc 	0	0	3	2	0	0	1	0	4	0	0	0	25	8	18	1	2	6	0	0	1	0	0	2	17
ufi	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	1	0	0	0
ufr	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	4	7	7	0	3	0	0	0	0	1
uli	0	0	1	0	3	0	0	1	3	0	2	0	3	0	0	1	5	6	1	1	12	0	0	0	1
una	0	0	2	0	0	0	0	0	0	1	1	1	0	0	1	1	1	13	0	0	11	12	0	0	6
upe	0	0	2	3	0	1	0	0	1	1	0	3	9	5	5	1	1	16	0	0	4	3	0	0	4
urf	0	0	1	0	0	0	0	0	0	0	0	0	2	7	0	0	0	4	0	0	0	0	0	0	0
uri	0	0	23	0	3	0	0	1	0	3	0	0	22	5	4	1	4	10	2	1	9	2	0	0	3
usb	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uze	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
uça	0	0	1	0	1	0	0	3	0	3	0	0	1	0	0	0	0	4	0	0	3	0	0	0	0
uï 	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
uït	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
var	0	0	1	0	0	0	0	1	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0
ved	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0
vor	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	126	0	0	1	0	0	0	1
xx	0	0	0	0	0	0	0	5	0	0	0	2	0	1	0	0	0	4	1	0	0	0	0	0	4
xxx	0	0	2	0	0	0	0	0	0	0	0	4	1	0	0	0	0	2	0	0	0	0	0	1	1
yc 	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
yla	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
zas	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zei	0	0	1	0	0	0	0	0	0	0	3	0	0	0	15	0	0	0	0	0	47	0	0	0	0
zel	0	0	1	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	1	0	0	0	0
zem	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zen	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
zil	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	1	0	0	0	0
zte	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ç s	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
çai	0	0	1	0	1	1	0	2	1	6	0	3	0	0	2	1	0	4	0	0	1	2	0	0	0
çan	0	0	1	0	0	0	0	0	1	60	0	0	0	0	4	0	0	2	0	0	1	0	0	1	0
çar	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ço	0	0	1	0	0	0	0	0	0	0	11	0	0	1	123	23	0	0	0	0	171	4	27	0	3
ço 	0	0	4	0	0	0	0	0	0	0	19	0	0	0	223	1	0	0	0	0	248	1	32	0	0
çob	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ços	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	5	0	0
ï e	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
ïmu	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ïn 	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ït 	0	0	1	0	0	3	0	0	0	0	0	1	0	3	2	0	1	5	0	0	0	1	0	0	0
 bé	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0
 iu	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
 jà	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	2	0
 ka	0	0	0	1	0	0	0	0	10	1	0	0	0	1	0	0	0	18	0	0	0	1	0	0	0
 où	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
 pé	0	0	0	1	0	1	0	0	34	0	0	0	2	0	34	48	22	0	0	8	0	1	0	1	0
 sé	0	0	0	2	0	0	0	0	2	0	0	0	0	0	25	1	0	45	0	1	0	4	0	4	0
 vr	0	0	0	1	0	0	1	0	2	0	0	1	6	7	0	2	3	31	2	0	0	4	0	0	0
 vé	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	1	0	41	0	0	0	9	0	2	0
 éu	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
aas	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aav	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acc	0	0	0	1	3	0	0	0	0	0	0	1	2	1	0	0	0	1	0	0	0	0	0	0	2
adè	0	0	0	3	0	1	0	0	0	0	0	0	0	0	5	0	0	831	0	2	8	0	0	0	0
agd	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aif	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aié	0	0	0	2	0	0	0	5	1	0	1	0	1	14	0	2	1	13	0	1	3	1	0	0	0
all	0	0	0	7	0	3	0	4	0	0	0	0	52	6	3	4	9	17	1	10	4	4	0	0	2
bic	0	0	0	1	0	0	0	4	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
biè	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
blè	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
buf	0	0	0	1	0	0	0	7	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
buv	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
béu	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
cco	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0
ceq	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ceu	0	0	0	2	0	5	1	0	0	3	2	7	68	1	88	0	7	10	0	4	45	0	2	1	0
ché	0	0	0	2	0	1	0	0	0	0	0	1	0	2	0	0	0	11	0	2	0	0	0	2	0
d a	0	0	0	1	0	0	0	0	3	0	0	0	18	0	0	0	0	0	0	0	0	2	5	0	0
d b	0	0	0	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0
d r	0	0	0	1	0	0	0	0	0	0	0	0	9	0	0	0	0	1	0	0	0	1	1	0	0
d v	0	0	0	1	1	0	0	0	0	0	0	0	13	0	1	0	0	2	0	0	0	0	3	0	0
dès	0	0	0	3	0	2	0	0	0	0	8	0	0	0	23	0	0	847	0	3	71	0	0	1	0
dél	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	5	0	0	0
dép	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	12	0	0	0
e é	0	0	0	1	2	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	1	0
ems	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0
erf	0	0	0	15	0	0	0	4	6	17	0	0	1	3	2	2	0	0	0	0	1	1	1	0	0
eue	0	0	0	3	0	4	1	0	13	3	0	3	15	11	1	1	2	10	0	4	6	2	0	0	2
eut	0	0	0	2	0	15	1	0	18	0	0	30	8	57	50	10	2	61	0	7	19	12	4	1	0
f j	0	0	0	2	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1
f v	0	0	0	1	0	0	0	0	1	0	0	1	1	2	3	0	3	5	0	0	2	2	1	0	2
ffi	0	0	0	1	0	0	0	0	0	0	0	0	16	7	0	0	0	1	0	0	0	0	0	0	0
ffl	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0
fré	0	0	0	1	0	0	0	1	9	0	0	0	2	1	68	0	1	14	0	1	0	0	0	0	0
gde	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ho 	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hue	0	0	0	2	1	0	0	0	0	1	0	0	0	3	2	0	0	0	2	0	0	1	0	0	1
hus	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	12	0	0	0	0
héa	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
hés	0	0	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	2	1	0	0	1	0
iié	0	0	0	1	0	1	0	0	3	9	0	6	0	1	0	3	0	53	0	0	6	7	0	0	0
ini	0	0	0	1	1	0	0	3	2	2	0	9	22	7	81	0	1	5	0	2	3	2	4	0	2
irz	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
isq	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	31	0	0	0	1	0	0	0
iu	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iup	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ièr	0	0	0	3	1	0	0	0	2	0	0	0	2	0	4	0	0	7	0	1	2	2	0	3	0
ièv	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
iée	0	0	0	4	5	0	0	0	1	2	0	0	0	0	11	1	1	8	0	4	0	0	0	1	0
jon	0	0	0	4	0	1	0	2	1	4	0	2	0	1	6	1	0	2	0	0	5	0	0	0	1
jà	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	1	0
jà 	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	3	0
liè	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
llè	0	0	0	4	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	30	0	0	0	0
là	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	251	0	0	0	0	0	3	0
là 	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	379	0	0	0	0	0	4	0
lès	0	0	0	5	0	1	0	0	0	0	2	0	0	0	31	0	0	12	0	0	54	0	0	0	0
lée	0	0	0	1	1	1	0	0	4	1	1	0	0	0	4	4	7	100	4	7	0	0	0	3	0
mbo	0	0	0	2	0	0	0	0	2	0	0	0	4	1	0	0	0	2	0	0	0	0	0	0	0
mma	0	0	0	3	7	4	0	0	1	0	1	0	58	0	0	16	2	96	8	2	0	8	0	0	0
mmu	0	0	0	1	0	0	0	0	2	0	0	0	3	0	0	1	0	11	0	5	0	0	1	0	0
mpe	0	0	0	2	2	1	0	1	5	0	3	0	14	10	21	8	3	21	23	4	13	1	9	0	121
mpo	0	0	0	1	0	1	0	0	3	0	0	1	14	15	1	1	3	3	1	1	4	1	3	0	0
msa	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0
mée	0	0	0	8	0	0	0	0	2	0	0	1	1	0	2	3	3	38	0	3	0	0	0	0	0
niè	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	1	0
nst	0	0	0	3	1	1	1	0	4	1	0	1	23	29	34	13	1	39	0	1	4	9	7	1	0
nun	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
née	0	0	0	10	1	0	0	0	10	0	0	0	5	0	8	10	11	148	3	6	0	0	0	2	0
néo	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nés	0	0	0	1	0	2	0	0	12	0	0	0	16	34	3	24	1	62	0	0	0	37	0	2	0
o h	0	0	0	1	0	0	0	2	0	1	1	0	0	0	0	0	0	1	0	0	6	0	1	0	0
oer	0	0	0	2	0	1	0	0	3	1	0	3	1	2	11	1	0	20	0	1	1	0	0	0	6
ofi	0	0	0	1	2	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0
olé	0	0	0	1	0	0	0	0	0	0	0	1	1	20	5	3	0	16	2	1	0	10	0	0	2
ots	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ou 	0	0	0	3	0	0	8	0	64	0	0	4	9	13	25	81	1	65	1	1	0	171	1	0	2
oub	0	0	0	2	0	1	3	0	1	0	0	0	40	12	0	6	1	59	3	0	0	1	0	0	1
oue	0	0	0	6	0	0	2	0	0	0	0	1	3	16	0	3	1	40	2	0	0	3	0	1	0
oup	0	0	0	5	0	2	0	0	4	1	1	9	35	7	20	1	3	91	4	0	6	4	0	0	3
oux	0	0	0	1	0	0	0	0	0	0	0	0	9	0	0	0	0	1	0	0	0	0	0	0	0
