ngramme	freq-JugAmD	freq-LancJ	freq-AigarB	freq-ChaceP	freq-DancusM	freq-OmbreB2	freq-UnicornecW	freq-PercevalKu	freq-AlexisP13	freq-ErecF	freq-BenTroieC_4partial	freq-MeraugisF	freq-JAvesnesFilleB	freq-Yvain	freq-ThebesC	freq-AlexisPRI	freq-AlexisPQ	freq-CleomHas	freq-SGeorgDeG	freq-AlexisOctP	freq-BenTroieC_1partial	freq-FillePonth1B1	freq-AlexisP11	freq-SGeorgVosL	freq-Cliges
coi	0	35	2	6	0	4	10	63	7	15	2	5	4	20	13	10	2	32	2	3	14	12	1	1	55
cos	0	45	3	2	3	0	1	44	14	62	6	10	10	23	39	5	2	44	0	1	13	20	2	1	47
cov	0	77	0	0	5	10	0	73	3	52	11	35	0	1	50	0	0	0	0	10	58	1	3	2	72
cro	0	38	2	1	3	6	1	51	4	37	0	22	8	25	21	6	13	205	31	0	6	19	1	4	49
crï	0	9	0	0	0	0	0	0	0	2	0	4	0	5	1	0	0	0	0	0	0	0	0	0	3
crü	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cto	0	1	0	0	1	0	0	0	0	1	6	0	5	1	3	1	0	2	0	1	25	1	0	1	1
cur	0	11	0	0	10	0	1	8	3	6	1	1	9	13	36	2	2	10	0	3	16	0	2	0	14
cus	0	2	8	0	9	1	1	2	1	1	0	0	16	21	1	1	0	12	0	1	1	0	0	0	10
cuz	0	23	0	0	0	0	0	15	0	22	6	12	0	0	27	0	0	1	0	0	21	0	0	1	23
cüi	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d o	0	1	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	4	0	0
da 	0	11	0	0	1	0	0	8	4	18	0	3	21	9	15	3	10	27	7	1	11	46	0	4	5
dah	0	7	0	0	0	0	0	8	0	0	0	0	0	0	1	0	0	0	0	1	3	0	0	0	0
dai	0	18	1	2	0	1	0	8	1	6	0	2	20	14	47	0	0	14	0	1	11	1	0	0	12
das	0	8	9	0	0	1	0	13	1	1	1	4	12	2	1	2	5	54	0	1	2	3	1	0	2
dea	0	2	0	0	0	0	0	11	0	2	0	0	1	0	10	0	0	0	0	1	12	0	0	0	2
dee	0	11	0	0	0	1	0	11	0	13	0	4	2	9	5	0	0	0	0	0	9	1	0	0	11
deg	0	7	0	0	0	1	0	8	14	4	0	1	2	4	6	17	17	2	0	1	2	0	9	0	2
dei	0	2	3	0	0	0	0	5	1	3	3	0	0	4	92	0	1	1	0	4	63	2	8	3	5
dex	0	63	1	0	0	0	0	145	0	0	0	0	6	3	0	2	0	0	0	11	0	0	0	0	49
deç	0	4	0	0	0	0	0	1	0	1	0	2	1	0	3	0	0	4	0	1	0	0	0	1	6
deü	0	14	0	0	0	2	0	16	0	6	1	1	0	13	114	0	0	33	0	0	3	2	0	0	19
dia	0	11	0	0	0	0	1	12	13	14	2	0	3	4	5	2	1	1	0	0	2	1	0	0	18
dic	0	1	0	0	21	0	0	1	0	2	0	0	7	0	0	0	0	0	0	0	0	0	6	1	0
div	0	1	0	0	0	0	0	4	0	6	1	1	11	1	0	0	1	38	1	2	6	2	0	0	10
diz	0	9	0	0	6	1	0	13	0	16	2	14	0	2	9	0	0	0	0	1	37	0	1	0	7
dob	0	1	2	0	0	0	0	6	0	3	1	1	0	0	20	0	0	0	0	0	8	0	0	0	9
dol	0	39	2	0	1	0	5	44	31	25	3	4	8	26	46	28	2	72	6	16	29	23	31	3	59
dom	0	24	0	0	0	2	4	64	1	9	0	7	45	3	5	1	3	1	2	0	3	12	0	0	32
dor	0	12	0	0	1	0	0	16	3	14	1	2	8	9	62	0	2	47	0	0	19	2	9	0	25
dos	0	4	4	0	0	0	2	5	7	4	0	2	2	7	14	2	0	13	0	2	11	1	2	1	2
dot	0	30	1	1	0	0	0	31	1	26	4	57	0	0	29	1	0	4	0	3	60	1	3	9	30
dr	0	21	3	0	0	2	5	23	5	19	2	5	1	18	42	4	2	41	0	6	33	0	6	2	9
drï	0	2	0	0	0	0	0	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0
du 	0	5	0	0	0	1	0	7	0	7	0	0	13	6	12	3	3	24	0	5	2	5	0	0	2
dut	0	4	8	0	0	1	0	5	8	7	3	0	0	2	1	2	0	8	0	1	4	1	4	0	2
duz	0	23	0	0	0	0	0	14	0	4	1	3	0	0	16	0	0	4	0	0	7	0	0	0	8
dé	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	3	1	0	1	0
dés	0	10	0	0	2	0	0	2	4	7	0	6	6	22	0	7	1	27	0	0	0	14	0	0	10
dë 	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dï	0	22	0	0	0	0	0	19	0	8	0	6	0	8	0	0	0	0	0	0	0	0	0	0	17
dïe	0	33	1	0	0	0	0	20	0	9	0	20	0	16	1	0	0	0	0	0	0	0	0	0	30
e k	0	2	0	0	0	0	0	0	5	0	0	0	0	9	0	1	0	5	0	1	0	3	0	0	0
e u	0	2	1	0	1	2	0	4	1	2	1	0	5	3	5	0	3	6	0	2	12	1	0	0	7
e ç	0	3	0	0	0	0	0	9	0	7	2	2	0	0	15	8	0	3	0	0	6	4	4	0	1
ea 	0	1	0	0	2	0	0	3	1	0	0	0	1	0	1	0	0	0	0	0	9	3	0	0	1
eab	0	2	0	0	0	0	0	9	0	2	0	0	3	0	9	0	0	0	0	3	1	0	0	0	1
